text,degree_of_polarity
"@Gieehad @edwinbazz @ezash Namanya start up memang massive, terstruktur, kopi kenangan dan fore juga seperti itu. Starbucks aja kalah cepat dalam hal pertumbuhan jumlah gerai kalau dibandingkan kopi kenangan.",0
"365/365
Pake kenangan point buat beli kopi gratis😗",0
"@FOODFESS2 Kopi kenangan 
Kopinya lebih berasa wkwk 

Janjiw manis bgt",0
"@FOODFESS2 kopi kenangan, kenangan mantan less sugar lebih enak kopinya",0
FESS kalian suka kopi kenangan atau janji jiwa?alasannya kenapa?,0
"@bankneocommerce Ada 16 outlet :

1.Chicha San chen
2.Kopi lain hati 
3.Vilo
4.Gildak
5.Kopi Kenangan
6.Traffic Bun
7.Fore 
8.Tawan
9.Waroeng Pak Muh
10.Ayam Gedebuk
11.Ichiban Sushi
12.Dapur Solo
13.Street Boba
14.Bobo Box
15.Orient Martabak
16.Yuba Tea

@PureJT @RoronoaNFT @Soheil_kh72",1
"@bankneocommerce Ada 16 outlet Neomin

1. Ayam Gedebuk
2.Ichiban Sushi
3.Dapur Solo
4.Street Boba
5.Bobo Box
6.Orient Martabak
7.Yuba Tea
8.Chicha San chen
9.Kopi lain hati 
10.Vilo
11.Gildak
12.Kopi Kenangan
13.Traffic Bun
14.Fore 
15.Tawan
16.Waroeng Pak Muh

@upstreamalpha 
@oapiko3 @rom_0017",1
"Anggota yang mengikuti DKT: Boga Group, Sushi Tei, HokBen, https://t.co/Zt7uSbp5Nj Donut &amp; Coffee, Kopi Kenangan, Sari Ratu Restaurant Padang, Champ Resto Indonesia Tbk, Bakmi GM, KFC, PT Foods Beverages Indonesia, Starbucks. (19/12)

Hadir Sekretaris Eksekutif DPP, Ibu Wulan",0
"Ini nderr Kopi Kenangan lagi diskon min. transaksi 20k dapet potongan 12k🌟

Hanya untuk pembayaran melalui jenius. Jangan sampai kehabisan nderr❗ https://t.co/N7ompVdSqv",0
"@bankneocommerce Ada 16 outlet yaitu:

1. Ayam Gedebuk
2.Ichiban Sushi
3.Dapur Solo
4.Street Boba
5.Bobo Box
6.Orient Martabak
7.Yuba Tea
8.Chicha San chen
9.Kopi lain hati 
10.Vilo
11.Gildak
12.Kopi Kenangan
13.Traffic Bun
14.Fore 
15.Tawan
16.Waroeng Pak Muh

@uwie_cuitt 
@SannyPeh
@FrauWhulan",1
"@Aanzati Serious weeyhh. Semalam beli 3 cups tau. Mujur 1st timer dapat lah 50% discount. Kalau tak, memang jadi kenangan pahit untuk penutup 2022 lah 😆 sebab tak rasa pahit kopi lol 🤣",0
"@edwinbazz @ezash @Gieehad Sorry, maksudnya yang startup itu kopi kenangan dan fore, makanya menjamur. Mixue bener franchise. Cuma mau bilang ngga semua yang menjamur dengan cepat itu harus dikaitkan dengan ""cuci uang""",0
"@winnybellee Maff, gua kira awalnya dia boong ga ke kopi kenangan. Ternyata...",0
@i_m_mortal_ Im kopi kenangan bayar pake jenius pay 🤏 ngopi jadi 5 ribu 😭 btw ini aku disc 2 ribunya dri kenangan points https://t.co/GbM8CTpLVi,1
@erbasniyo @mrhoneylime Kan bisa tukar kopi kenangan.,0
"@ezash @Gieehad Ya sebenarnya mixue ini mirip kopi kenangan atau fore coffee kan? Menjamur cepat banget, ya karena business modelnya startup, pakai duit dari VC",0
"Tinggalkan kenangan di Tahun 2022 guys...
Yang pahit dan manis anggap sebagai racikan kopi yg tetap harus dinikmati 💪

Apa Resolusi kalian di Tahun 2023 #SahabatTyler? Semoga Tahun 2023 harapan itu terwujud buat kita 🙏🏻

#BerbagiCeritaTyler #Podcast 
#Resolusi #Tahunbaru #2023 https://t.co/aBRZZX7be2",0
"Tinggalkan kenangan di Tahun 2022 guys...
Yang pahit dan manis anggap sebagai racikan kopi yg tetap harus dinikmati 💪

Apa Resolusi kalian di Tahun 2023 #PemirsaCharlesZoraZeeTylerMarta? https://t.co/t4mw26q2o6",0
"Pagi ini sungguh berbeda mungkin karena  Kopi ku terlalu manis sehingga lupa dengan pahit nya kenangan.
Ngopi terakhir di tahun 2022 smg kopiku terus manis di tahun 2023.
Selamat pagi
Ayo ngopi gais. https://t.co/FW38C7sn2G",0
"tadi ke kopi kenangan lucu banget ada ginian, tapi gaada pasangannya😩 https://t.co/0P4JU9JTcq",0
kopi kenangan bikin gueh pusing njink pdhl itu enakkk jncok,0
"@infomalang @koremoonksjin kopi kenangan ijen buka jam 6 pagi, kopken suhat 24 jam",0
Jadi pengen gtea kopi kenangan,1
Pngn kopi kenangan,0
Ngopi malam sambil makan roti a.k.a Pasal 1 @ Kopi Kenangan https://t.co/giMZQnvwBS,0
Mendadak ngidam kopi kenangan jam segini,0
gue beneran 5 watt mataa tapi bisa sambil makan sosis kanzler + kopi kenangan,0
"besok mau beli kopi kenangan, sambil mengenang""",0
"Habis nyobain caramel avocadonya Kopi Kenangan, then yeah, biasa aja ._.",0
Satu cup Kopi Kenangan Mantan 25k disaat 1 porsi Tahu Tek Sekardangan sak mbleneg e tetep 15k. Artinyaaa?,0
Tiap minggu minimal 1x gue minum kopi kenangan,0
all! yg pernah kerja di kopi kenangan atau kopi ketje cara daftarnya gmn?,0
"@hidroqgen Nice! I haven't tried anything selain Kopi Kenangan Mantannya. Kapan-kapan bakal aku coba, deh.",0
"Terakhir kali handphone dimasukkan ke dalam tas di wooden platform di depan kopi kenangan.  Sebelum HP ditemukan hilang, HP masih dalam kondisi menyala, sinyal bagus, dan lain sebagainya.",1
@diendoubleu @formyfavperson_ Seperti pesanan kopi kenangan 🙏🏻,1
"Mixue dan Kopi Kenangan Punya 3 Kunci Sukses, Cek Detailnya https://t.co/x4Vh5rvFBP",0
@sourfnty Both: janji jiwa &amp; kopi kenangan,0
Mas mas baju item yang ga bisa antri kopi kenangan di stasiun Semarang tawang  tak doain u keselek,0
Kopi kenangan https://t.co/yj0c9C7C62,0
@FFOODFESS Kopi kenangan mantan enak,0
Fess saran menu kopi kenangan yang enak dong. Tia,0
Guis saran menu kopi kenangan yang enak dong. Tia,0
"kopi kenangan
~ syarat dan ketentuan berlaku https://t.co/tsXNgR4Bra",0
"kopi kenangan
~ periode promo tertera https://t.co/u7IkLnOBFB",0
@discountfess tumblr kopi kenangan pake flashsale goput,0
"In terms of ""overpriced coffee stores popping up everywhere"" with the criteria being ""best bang for the bucks"", flash &gt; fore &gt;&gt;&gt; kopi kenangan=janji jiwa &gt; starbucks https://t.co/iY3oFhDzRN",0
"ada yang transaksi di kopi kenangan. 
dah sejam ngitung uang. 

hohoho..",0
"@Fidifidipooh Ruko GDC kak dia sederetan sama kopi kenangan, nama tempatnya Tomoro Coffee",0
@endorphinslover disebelahnya nih kopi kenangan,0
"Mat! lagi nongki di kopi kenangan, liat cewek terus penasaran. Ni cewek ada di base ini ga ya. Please do magic https://t.co/cVWe3e64YP",0
"Kopi kenangan

Klaim diskon👇🏻
https://t.co/1SMElQQGSw https://t.co/QRqFeqUVLh",1
@chiyaya_ Br sampai td hahaga skrg kt kenangan kopi 🤣🤣🤣🤣,0
"@worksfess Kangen jajanan Indonesia, malah bawa mixue! Ini bukan dari Indonesia,  kopi kenangan noooohh yg Indonesia",0
@discountfess kopi kenangan,0
i am at kopi kenangan https://t.co/gABM6EhF8l,0
minum kopi kenangan bersama mantan aowkwkwk,0
@lovedrunx Sama kopi kenangan,0
"3. Kopi Kenangan, Jakarta. https://t.co/38MYCyyZ71",0
@julia0225___ @worksfess Sampingnya kopi kenangan wkwkkw,0
Kopken kenangan mantan yg hot surprisingly gue suka. Kayak pas aja di lidah gue biasanya kalau beli kopi yg hot pasti kepahitan. Ini tuh gak manis masih ada pait2nya tp masih bisa gue seruput.,0
nak try kopi kenangan nnti 🥰😋,0
"@kylooscartango Kalo beli kopi kenangan mantan, tapi gapunya mantan. Mantan suami orang boleh dikenang, om?
Dari eneng di gunung geulis.",0
"pagi ini kuramu kopi dengan sedikit manis senyummu,
kuseduh kopi itu dengan seperti hangat dekapmu. 
puan, kita memang terjebak rasa nyaman, dan hangatnya kenangan,
tapi, yang 'ku tau kita hanya tak lebih dari sekedar teman.

~@hiperre4litas",0
@machiatolops kopi kenangan yang botol,0
@ccstrngg Wkwkw dia anak kopi kenangan deket store gue,0
"@indocringe_ lebih enakan kopi kenangan juga, ato ngga ya kopi asiang.",0
"pagi ini kuramu kopi dengan sedikit manis senyummu,
ku seduh kopi itu dengan seperti hangat dekapmu. 
puan, kita memang terjebak rasa nyaman dan hangatnya kenangan,
tapi, yang ku tau kita hanya tak lebih hanya sekedar teman.

@PelangiPuisi",0
"Pickup #americano (@ Kopi Kenangan Ruko Kaliurang in Kecamatan Depok, Daerah Istimewa Yogyakarta) https://t.co/YGjkyN06nu",0
kopi kenangan for sure.,0
@eclzipse @convomf @shashvay IYA AKU GAK NGERTI KOPI KENANGAN ANJIR.,0
@april_hamsa Kopi kenangan?,0
"Padahal kalo di Amerika nih kopi dah kayak kopi kenangan yg banyak franchise nya, kenapa disini dianggap mewah yak",0
"Ya kadang bisa jadi mixue bisa jadi kopi kenangan bisa juga jadi Alfamidi..
Bebas kan pikir anmu supaya hati mu bebas mau jadi apa
#udahitusajq",0
"@sucii1993 kirim wa km kita janjian ,aku bakal bisa puasin kmu,klo km tdk puas aku kasih kmu 1 Jt ,tpi klo kmu puas km cukup belikan aku kopi kenangan mantan aj ,gimana deal or not.( Berani terima tantangan / challenge aku 😋👍✌️🖤🥰💋😍",0
"@kyshfrw @stryabtcy Ga level lek jareku, minim i kopi kenangan lahhh hahaha",0
"@bankneocommerce Ada 16 Outlet, Ichiban Sushi, Dapur Solo, Street Boba, Bobo Box, Orient Martabak, Ayam Gedebuk, Yuba Tea, Vilo, Gildak, Kopi Kenangan, Traffic Bun, Kopi Lain Hati, Fore, Tawan, Waroeng Pak Muh, Chicha San chen 

@Fauzan22249545 @opensea @_AscendEX",0
@theadried @youlevme mari kita coba nongki di kopi kopken kenangan aja ga sih?,0
"Cetak rekor MURI bangun 26 toko dalam seminggu, berikut profil dan sejarah dari Kopi Kenangan.  https://t.co/nZbXlXBXjE",0
@yuniperes Cintai kopi kenangan 😁,0
"@heartofgom EHSHWH IYA, aku klo ke kopken selalu beli itu yg less sugar... kalau ngga itu ya earl grey milktea pake grass jelly wgwgwg. aku waktu itu nyoba yg kopi dolce, mayan enakkk. cuma dia lebih manis dari kenangan mantan ((klo normal sugar)). selain dua itu, blm nyoba menu lain ^•^",0
@kh_notodiputro @hannajoe20 Kopi kenangan kebanyakan gulanya mas..hehehe..bahaya bg kesehatan si Joni 🤣😆😅,0
@nabiladipo Kata gua mending buka kopi kenangan dulu sebelum keduluan mixue bil!!!,0
"@hannajoe20 Wah, harga kopi secangkir 50€... kalau di Bogor bisa dapat Kopi Kenangan yg berkesan ukuran reguler lebih dari 40 gelas... bisa ngopi bolak balik 40 kali ke Kopi Kenangan..

Andaikan bisa buka kedai kopi di Jerman boleh juga ini..",0
"Kopi dan kamu sama
Sama sama tidak membiarkanku
Kesepian saat malam

Kopi dihadapan
Kamu dalam kenangan

Ngopi kita🙏 https://t.co/NsSaTXce2a",0
cookies nya kopi kenangan enak ga si? jd pgn beli,1
btw americano kopi kenangan enak jg ya👍 https://t.co/joQLsqc79N,0
Kopi kenangan enak gak sih. Kok kyknya byk yg jual dimana mana,0
@ruIia Asikkk!! &gt;&lt; tpin ngga ada kopi kenangan mantan kan ini?,0
@CallMeKimJongUn @tanyarlfes yg lagi pegang kopi kenangan kk 🙏🏻😂,0
Kopi kenangan 🤤,0
@heartofgom aku... kopi kenangan sih....,0
Kopi kenangan 💕💕,0
"Kopi kenangan
Chatime
Kokumj",1
Guys selain bisa ngeluarin benda benda ajaib dari kantong nya doraemon sahabat senja yg suka minum kopi kenangan sambil nulis puisi ttg idup yg kejam gaada duanya itu,0
corkcircle apa si mending lu pada beli tumblr merch Kopi Kenangan sama ajh bisa tahan panas/dingin bedanya tumblr Kopi Kenangan bisa diskon 20% semua minuman all day🤪,0
"Cetak rekor MURI bangun 26 toko dalam seminggu, berikut profil dan sejarah dari Kopi Kenangan.  https://t.co/63XFiD2Xtn",0
@virtuaIbase Janji Jiwa or Kopi Kenangan?,0
"@discountfess cek jam 11 sama jam 5 pas klo mau cashback gede. cth resto janji jiwa, teguk, burger bangor, kopi kenangan dll",0
"Moms.
Lumayan lho bisa makan enak di Gokana, Pizza Hut, Marugame Udon, Kopi Kenangan dll. https://t.co/YxQHM9hFIm",0
Profil dan Sejarah Kopi Kenangan yang Pecahkan Rekor MURI https://t.co/5v5opOOvVH,0
"@bankneocommerce Ada 16 Outlet: Ichiban Sushi, Dapur Solo, Street Boba, Bobo Box, Orient Martabak, Ayam Gedebuk, Yuba Tea, Vilo, Kopi Lain Hati, Gildak, Kopi Kenangan, Traffic Bun, Kopi Lain Hati, Fore, Tawan, Waroeng Pak Muh, Chicha San Chen
Yuk ikutan @07nanas @Rantisulasmy @BPoer94",1
"@FOOD_FESS Kopi, kopken yg kenangan mantan enak bgt parah",0
@nurainhanini Kat sini ade name2 rare dia jugak dk? Mcm kopi kenangan mantan? Sebab sy suka kopi kenangan mantan. Tapi xsure sbnrnya dia latte atau mende 🤣,0
"@nurainhanini Harga dia gane? Sebab kalau dekat indo dia antara yg student friendly jugok. Pastu kalau sy leni kopi lain minum still ngantuk je. Kalau kopi kenangan atau janji jiwa, sy boleh tahan ngantuk 🤣 tapi bukan jiwa yg ganu tu. Janji jiwa yg jenama indonesia jugok. Kopi dan toast best!",0
"COOKIES KOPI KENANGAN LETSGOOO

Reviewnya pelan2 y ges soalny w makan jg satu satu https://t.co/OWDtMl0ono",0
@jogmfs vote kopi kenangan,0
"@FOOD_FESS suka semua, tapi kalau kenangan suka kopi sihh",0
Kopi kenangan dah masuk malaysiaaaaaa… cepat lah masuk ganu… janji jiwa takboh masuk ke malaysiaa??,0
@nayeomn waktu yang pas buat mmbuat kenangan baru d tahun baru bersama kopi every day n every time tida ada kata bosan 🥺💗 jangan grogi nnti kucium..,0
Kopi kenangan ada ice cream nya wahhh,0
@dantipuji @dessieds_ kopi kenangan ae,0
"@bankneocommerce Ada 16 Outlet: 
1.Chicha San Chen
2.Kopi lain hati 
3.Vilo
4.Gildak
5.Kopi Kenangan
6.Traffic Bun
7.Fore 
8.Tawan
9.Waroeng Pak Muh
10.Ayam Gedebuk
11.Ichiban Sushi
12.Dapur Solo
13.Street Boba
14.Bobo Box
15.Orient Martabak
16.Yuba Tea 
@masmasjawabgt 
@selliyamanto 
@lathofya https://t.co/f7BSup807w",1
"@bankneocommerce Ada 16 Outlet: 
1.Chicha San Chen
2.Kopi lain hati 
3.Vilo
4.Gildak
5.Kopi Kenangan
6.Traffic Bun
7.Fore 
8.Tawan
9.Waroeng Pak Muh
10.Ayam Gedebuk
11.Ichiban Sushi
12.Dapur Solo
13.Street Boba
14.Bobo Box
15.Orient Martabak
16.Yuba Tea 

@DaveeMY 
@claresta_cheva 
@AdheRukyat https://t.co/oWvLe2sMBH",1
kopi kenangan gak dimana mana slalu rame dah,1
butuh rekomendasi kopi kenangan yang enak + nampol dong :(,0
Kopi kenangan yang avogadro lebih enak dari gudey dengan varian yg sama. https://t.co/LoBdqJ9QEv,0
life hack gw: campurin sama kopi kenangan. kopken nya hot dan no sugar. jadinya enak bgt https://t.co/eG9XHGhnpj,0
@RacunBelanja Di kombo sama apa . Yah . Kopi kenangan kan sama octo,0
"@bankneocommerce Ada 16 outlet Neomin 🙌

1. Ayam Gedebuk
2.Ichiban Sushi
3.Dapur Solo
4.Street Boba
5.Bobo Box
6.Orient Martabak
7.Yuba Tea
8.Chicha San chen
9.Kopi lain hati 
10.Vilo
11.Gildak
12.Kopi Kenangan
13.Traffic Bun
14.Fore 
15.Tawan
16.Waroeng Pak Muh

@kxxclypi @anita_inu @rainarumi",1
Promo Kopi Kenangan https://t.co/zMwFIoc0os,0
Sedap ke kopi kenangan tu? Kenangan apa indah sangat korang ada masa minum kopi tu?,0
Tadi lalu kedai Kopi Kenangan. Panjang beb beratur. Best ke? Tak silap brand from Indo. Ada yang pernah try? Apa yang best?,0
"@bankneocommerce Ada 16 outlet :

1.Chicha San chen
2.Kopi lain hati 
3.Vilo
4.Gildak
5.Kopi Kenangan
6.Traffic Bun
7.Fore 
8.Tawan
9.Waroeng Pak Muh
10.Ayam Gedebuk
11.Ichiban Sushi
12.Dapur Solo
13.Street Boba
14.Bobo Box
15.Orient Martabak
16.Yuba Tea
@max_qia 
@Mercymega6 
@Anisa__Nisha___",1
"punya hati jangan dibiarin kosong kelamaan
tar takutnya jadi gerai kopi kenangan
tar keingetnya kenangan terus lagi~",0
"Kopi kenangan, couvee, atau apa gitu ga ada rencana buka cabang di kota bantul apa ya? Bantul nih bener2 jarang bgt perkopian duniawinya:"")",0
@DewiSil70355396 Kemarin nyaa kopi kenangan mantan kk,0
"@NovaLSiahaan4 Bah ido, kukira kopi kenangan mantan dek😂",0
@ezash Kantor gue di Cikarang bang masih wfo sampe besok.. kopi kenangan seger kayanya sih biar gak salah input closingan😬 https://t.co/lw8BIwOPWe,0
"Tapi ada tempat ngopi di Bdg kategorinya resto, kopi secangkir 35an, musiknya: macarin kamuuu, gak jauh bedaa, dengan main ludruukk. Di waktu pagi. Luar biasa. Saparua yang penuh kenangan",0
"@bankneocommerce 1. Chicha San Chen 2. Traffic Bun 3. Gildak 4. Waroeng Pak Muh 5. Kopi Lain Hati 6. Bobobox 7. Kopi Kenangan 8. Martabak Orient 9. Ayam Gedebuk 10. Vilo Gelato 11. Yubatea 12. Fore Coffee 13. Ichiban Sushi+
yuk ikutan @Anton_wb88 @rindapangribuan @chayoecurniey",1
"@ezash Siang ini pengen makan wingstop dan butuh dopingan kopi kenangan bang eza 🙏🏻

Kantor di daerah kuningan. https://t.co/w9uTPvJBAj",0
"2. Obelix Village
Terletak di Jalan Kenangan, Krandon, Pandowoharjo, Sleman, Jogja.
Ada berbagai variasi restoran di dalam Obelix Village, seperti resto keluarga Pulen Kopi Ponti, Petit Paris Boulangerie, dan Samui.

(Foto: Ig @.obelixvillage)
#wisatajogja https://t.co/Ast9TwYpfo",0
"Kgn bgt sama kopi kenangan, tp sayang lambung ga bisa diajak kerja sama 🥹",0
@convomf Ujung”nya kopi kenangan,0
"@txtdaribandung Bye-bye Bandung. Mulai tahun baru nanti semuanya tinggal kenangan. ☹️

Masa-masa skripsian, pengangguran, pekerjaan, menerbitkan, perjodohan, pernikahan, dan lain sebagainya akan jadi cerita hangat di udara yg dingin. Rumah Kebon Kopi No. 201, see you again. ☺️",0
"Enak jg di campur sama kopi hitam~
Jadi ga pahit2 amat kenangannya...
Ga sepahit kenangan sama .... (isi sendiri deh)

Good pagi para penghuni twitter 👋
-corvux https://t.co/R6hsNl6q3z",0
@discountfess Kopi kenangan pake blu. Setiap hari diskon 50% max 10k.,0
@bankneocommerce Ada 16 Outlet: 1.CHICA San Chen 2.Ichiban Sushi 3.Dapur Solo 4.Street Boba 5.Bobo Box 6.Orient Martabak 7.Traffic Bun 8.Ayam Gedebuk 9.Waroeng Pak Muh 10.Gildak 11.Kopi Kenangan 12.Fore 13.Tawan 14.Vilo 15.Yuba Tea 16.Kopi Lain Hati @acep_nanda @tantilestarip @EkaSriUtami13,0
"Pernah compare pas jaga malem tumblr sbux sama yg dibeli di alfamidi, sama2 diisi es kopi kenangan, mon maap sbux tumblr alfamidi menang jauh udah 10 jam lebih es batu masih utuh, punya lu dah tawar kopinya ;(",0
"@bankneocommerce Ada 16 outlet
1. Ayam Gedebuk
2.Ichiban Sushi
3.Dapur Solo
4.Street Boba
5.Bobo Box
6.Orient Martabak
7.Yuba Tea
8.Chicha San chen
9.Kopi lain hati 
10.Vilo
11.Gildak
12.Kopi Kenangan
13.Traffic Bun
14.Fore 
15.Tawan
16.Waroeng Pak Muh
Ayok. Ikutan
@alan 
@sukrogento 
@AlanKres",1
"@bankneocommerce Ada 16 outlet :

1.Chicha San chen
2.Kopi lain hati 
3.Vilo
4.Gildak
5.Kopi Kenangan
6.Traffic Bun
7.Fore 
8.Tawan
9.Waroeng Pak Muh
10.Ayam Gedebuk
11.Ichiban Sushi
12.Dapur Solo
13.Street Boba
14.Bobo Box
15.Orient Martabak
16.Yuba Tea 
@ahmadkelik @dorikaWS  @_ULuQ_",1
"@bankneocommerce Ada 16: 1.Chicha san chen 2.Kopi lain hati 3.Vilo 4.Gildak 5.Kopi kenangan 6.Traffic bun 7.Fore 8.Tawan 9.Waroeng pak muh 10.Ayam gedebuk 11.Ichiban sushi 12.Dapur solo 13.Street boba 14.Bobo box 15.Orient martabak 16.Yuba tea
@IkaMardi03 @mynamemustika23 @viaemila",0
@convomfs sbux or kopi kenangan?,0
@bankneocommerce Ada 16: 1.Chicha san chen 2.Kopi lain hati 3.Vilo 4.Gildak 5.Kopi kenangan 6.Traffic bun 7.Fore 8.Tawan 9.Waroeng pak muh 10.Ayam gedebuk 11.Ichiban sushi 12.Dapur solo 13.Street boba 14.Bobo box 15.Orient martabak 16.Yuba tea @a234_ri @Hyppo98 @dudygr,0
Aroma seduh kopi dan kretek menuntun ke pematang yang basah oleh hujan semalam. Lalu kenangan pun tersingkap. https://t.co/U6cIOvTLuQ,0
kopi kenangan satu liter emang the best 👍🏻👍🏻,0
"Minuman di mixue itu keknya ga semanis minuman janji jiwa/kopi kenangan/es teh. Tadi beli minta gulanya yg less ehh pas dicoba ga ada manisnya sama sekali. Tapi gapapa, lebih baik ga manis sama sekali, daripada kemanisan",0
"Ayo za biar besok bisa jalan jalan, guys org dah pada tidue gua sendirian berkat americano kopi kenangan gak ada ngantuk samsek",0
Sedih liat membership Kopi Kenangan aku coinnya udah dikit FAKKKKKK. Harus lebih impulsive. Jadiin aku ambassador dong @Kopikenangan_ID,0
"@polalouve SMAA ANJIR RUMAH W LADANG MAKANAN BUSET, ALASAN JARANG JAJAN PC berderet tuh mixue, kopi kenangan, hey cafe, xi boba, hokben, menantea beh gak usah jauh jauh tinggal keluar dari jalan rumahku seeet berasa di pasar malem versi elit",0
"Kerana kopi aku mencari kenangan. 
Al Fatihah untuk Abot. 
2015 - Padang Dewan Serbaguna Bandar Tun Abdul Razak. https://t.co/cQZhFRscqW",0
Bariki tak mengeluh kopi kenangan ra meh bukak ng daerah umy po yoan🙏🏼,0
ketika lu asmanya kumat dan minuman satusatunya yg lu punya itu kopi kenangan,0
"@bankneocommerce Ada 16 Outlet dong Neomin , Orient Martabak, Ayam Gedebuk, Yuba Tea, Vilo, Gildak, Kopi Kenangan Ichiban Sushi, Dapur Solo, Fore, Tawan, Waroeng Pak Muh, Chicha San chen , Street Boba, Bobo Box, Traffic Bun, Kopi Lain Hati 
yuk ikutan @jawadberkah @minigold_darjo @x0xwinsuper",0
Now craving kopi kenangan. Jauh pulak tu.,0
"@bankneocommerce Ada 16 Outlet dong Neomin 💛🫶, Orient Martabak, Ayam Gedebuk, Yuba Tea, Vilo, Gildak, Kopi Kenangan Ichiban Sushi, Dapur Solo, Fore, Tawan, Waroeng Pak Muh, Chicha San chen , Street Boba, Bobo Box, Traffic Bun, Kopi Lain Hati 

yuk ikutan
@nengky888 @eylysyaa @milakamila96",0
"@bankneocommerce Ada 16 outlet :

1.Chicha San chen
2.Kopi lain hati 
3.Vilo
4.Gildak
5.Kopi Kenangan
6.Traffic Bun
7.Fore 
8.Tawan
9.Waroeng Pak Muh
10.Ayam Gedebuk
11.Ichiban Sushi
12.Dapur Solo
13.Street Boba
14.Bobo Box
15.Orient Martabak
16.Yuba Tea

@queenj888 @deebyby @bubbleblue0606",1
"@bankneocommerce Ada 16 Outlet, Orient Martabak, Ayam Gedebuk, Yuba Tea, Vilo, Gildak, Kopi Kenangan Ichiban Sushi, Dapur Solo, Fore, Tawan, Waroeng Pak Muh, Chicha San chen , Street Boba, Bobo Box, Traffic Bun, Kopi Lain Hati 

@bbysvnflowie @deebyby @lovejp888",0
"@bankneocommerce Ada 16 outlet Qris Neobank

1. Ayam Gedebuk 2.Ichiban Sushi 3.Dapur Solo 4.Street Boba 5.Bobo Box 6.Orient Martabak 7.Yuba Tea 8.Chicha San chen 9.Kopi Lain Hati 10.Vilo 11.Gildak 12.Kopi Kenangan 13.Traffic Bun 14.Fore 15.Tawan 16.Waroeng Pak Muh

@biezyzy @eylysyaa @kyneng99",0
"@bankneocommerce Dr gmbr yg tertera ada 16 Outlet, Ichiban Sushi, Dapur Solo, Street Boba, Bobo Box, Orient Martabak, Ayam Gedebuk, Yuba Tea, Vilo, Gildak, Kopi Kenangan, Traffic Bun, Kopi Lain Hati, Fore, Tawan, Waroeng Pak Muh, Chicha San chen 
Yuk gas ikutan @merdhagustifa @_dewio @deenounna",0
Sedap kopi Kenangan ni. Harga tak mahal sangat. Patutlah maju bisnes billion2. Dlm gambar Salted Caramel macchiato https://t.co/MHsOv2mJJ0,0
"RONDE 8 KAN YA??

JANJI JIWA ATAU KOPI KENANGAN",0
